table,tier,rationale
person,mandatory,"Every AFBSTEP analysis is per-person. No other table can be interpreted without it."
observation_period,mandatory,"Defines the window in which the absence of a record is interpretable. Without it a missing condition cannot be distinguished from an unobserved stretch of time."
condition_occurrence,mandatory,"Carries the baseline comorbidities and the study endpoints that are recorded as conditions."
episode,mandatory,"Container for AF-burden assessment. One row per aggregated monitoring window or per disaggregated arrhythmia episode, distinguished by episode_type_concept_id."
measurement,mandatory,"Carries the numeric AF burden (percent time in AF) and the maximum rate during an episode. The study's primary quantity lives here."
observation,mandatory,"Carries how the burden was assessed: estimation method, monitoring mode, analysable and AF-classified ECG counts, episode duration, symptomatic status."
episode_event,expected,"Links an episode to the measurement and observation rows derived from it. Expected rather than mandatory because a site reporting only aggregated windows has nothing to disaggregate."
device_specs,expected,"AFBSTEP extension recording the device and detection algorithm behind an episode. Expected because AF burden from intermittent ECG has no device to describe."
person_study,optional,"Links a person to the source study they were enrolled in. Not present for persons contributed outside any study context, e.g. standalone wearable data submissions."
study,optional,"Describes a source study contributing data. Absent when a partner submits data outside any study context, e.g. standalone wearable data."
study_attribute,optional,"placeholder"
source,optional,"AFBSTEP extension linking an episode to an externally stored raw file (report, waveform). Absent where the burden was derived purely from numeric assessment with no accompanying file."
procedure_occurrence,optional,"Referenced by 15 pinned procedure concepts. Tier needs the study team's review."
visit_occurrence,optional,"Referenced by the pinned visit concepts. Tier needs review."
death,optional,"Referenced by the pinned death concepts. Tier needs review."
device_exposure,optional,"Referenced by the pinned ablation energy source concepts. Tier needs review."
drug_exposure,optional,"Referenced by the AFBSTEP concomitant-medication concepts. Tier needs review."
