concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,CDM_table,CDM_variable,status,rationale,valid_for_episode_type,valid_for_question
2000000000,Non-paroxysmal atrial fibrillation (unspecified),Condition,AFBSTEP,Clinical Finding,S,AFBSTEP_AFIB_NONPAROX_UNSPEC,2026-01-01,2099-12-31,observation,value_as_concept_id,custom_proposed,"No matching standard SNOMED concept for a general ""non-paroxysmal, subtype not further specified"" category. SNOMED only offers the specific subtypes (persistent/long-standing persistent/permanent).",,2000000002
2000000001,Device-detected atrial fibrillation,Condition,AFBSTEP,Clinical Finding,S,AFBSTEP_AFIB_SCAF,2026-01-01,2099-12-31,observation,value_as_concept_id,custom_proposed,"No standard SNOMED concept for AF specifically detected via implanted device monitoring, as distinct from clinically diagnosed AF.",,2000000002
2000000002,AF pattern,Observation,AFBSTEP,Clinical Observation,S,AFBSTEP_AF_PATTERN,2026-01-01,2099-12-31,observation,observation_concept_id,custom_proposed,"Parent concept for AF pattern classification, per AFBSTEP baseline codebook variable mh_hr_afib_pattern.",,
2000001000,Heart failure with mildly reduced ejection fraction (HFmrEF),Condition,AFBSTEP,Clinical Finding,S,AFBSTEP_HFMREF,2026-01-01,2099-12-31,observation,value_as_concept_id,custom_proposed,"No matching standard SNOMED concept for HFmrEF (LVEF 40-49%), a category introduced in the 2016 ESC heart failure guidelines. Source: AFBSTEP baseline codebook, variable mh_hf_pheno, value 2.",,2000001003
2000001001,Heart failure with preserved ejection fraction (HFpEF),Condition,AFBSTEP,Clinical Finding,S,AFBSTEP_HFPEF,2026-01-01,2099-12-31,observation,value_as_concept_id,custom_proposed,"No standard SNOMED condition concept found using the exact term ""HFpEF"" or ""preserved ejection fraction"". A related but not fully equivalent standard concept exists: concept_id 443587 ""Diastolic heart failure"" - not used as the primary mapping since HFpEF and diastolic heart failure are not strictly synonymous. Source: AFBSTEP baseline codebook, variable mh_hf_pheno, value 3.",,2000001003
2000001002,"Heart failure, recovered ejection fraction (HFrecEF)",Condition,AFBSTEP,Clinical Finding,S,AFBSTEP_HFRECEF,2026-01-01,2099-12-31,observation,value_as_concept_id,custom_proposed,"No matching standard SNOMED concept for recovered/improved ejection fraction heart failure category. Source: AFBSTEP baseline codebook, variable mh_hf_pheno, value 4.",,2000001003
2000001003,HF phenotype,Observation,AFBSTEP,Clinical Observation,S,AFBSTEP_HF_PHENOTYPE,2026-01-01,2099-12-31,observation,observation_concept_id,custom_proposed,"Parent concept for heart failure phenotype classification by LVEF per ESC guidelines, per AFBSTEP baseline codebook variable mh_hf_pheno.",,
2000002000,CHA2DS2-VA score (sex-agnostic variant),Measurement,AFBSTEP,Staging / Scales,S,AFBSTEP_CHA2DS2VA,2026-01-01,2099-12-31,measurement,measurement_concept_id,custom_proposed,"Not yet present as a standard concept in SNOMED/LOINC. Sex-agnostic CHA2DS2-VA variant introduced in ESC 2024 AF guideline; source: AFBSTEP baseline codebook, variable scores_chadsva.",,
2000003000,"AF ablation, other/unspecified technique",Procedure,AFBSTEP,Procedure,S,AFBSTEP_PROC_AF_OTHER,2026-01-01,2099-12-31,procedure_occurrence,procedure_concept_id,custom_proposed,"Catch-all for atrial fibrillation ablation procedures not classified as PVI. Source: treatment_cat, value 3.",,
2000003001,Cavotricuspid isthmus ablation,Procedure,AFBSTEP,Procedure,S,AFBSTEP_PROC_CTI,2026-01-01,2099-12-31,procedure_occurrence,procedure_concept_id,custom_proposed,"No standard SNOMED procedure concept found specifically for CTI/typical atrial flutter ablation. Source: treatment_cat, value 4.",,
2000003002,Atrial tachycardia ablation,Procedure,AFBSTEP,Procedure,S,AFBSTEP_PROC_AT,2026-01-01,2099-12-31,procedure_occurrence,procedure_concept_id,custom_proposed,"No standard SNOMED procedure concept found for atrial tachycardia ablation specifically. Source: treatment_cat, value 5.",,
2000003003,Supraventricular tachycardia ablation (other than AVNRT),Procedure,AFBSTEP,Procedure,S,AFBSTEP_PROC_SVT,2026-01-01,2099-12-31,procedure_occurrence,procedure_concept_id,custom_proposed,"No standard SNOMED procedure concept found for general SVT ablation. Source: treatment_cat, value 6.",,
2000003004,Premature ventricular complex ablation,Procedure,AFBSTEP,Procedure,S,AFBSTEP_PROC_PVC,2026-01-01,2099-12-31,procedure_occurrence,procedure_concept_id,custom_proposed,"No standard SNOMED procedure concept found for PVC ablation. Source: treatment_cat, value 8.",,
